symbol,entry_date,exit_date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,exit,target,stoploss,pnl,returns
RBLBANK,2019-09-25,2019-09-26,2019-09-26,2019-10-31,383.9,379.55,-4.35,1.0,1.78,5.45,-3.45,Buy Spread,-4.35,-2.9500000000000455,-1.6799999999999995,-5.239999999999998,1.3999999999999542,0.3218
RBLBANK,2020-03-18,2020-03-23,2020-03-26,2020-04-30,161.85,156.2,-5.65,0.57,1.84,5.17,-4.03,Buy Spread,-5.65,-13.300000000000011,-2.89,-6.57,-7.650000000000011,-1.354
RBLBANK,2020-03-24,2020-03-25,2020-03-26,2020-04-30,154.65,138.05,-16.6,0.48,2.11,5.75,-4.8,Buy Spread,-16.6,-31.299999999999983,-13.435000000000002,-17.655,-14.699999999999982,-0.8855
RBLBANK,2020-04-01,2020-04-22,2020-04-30,2020-05-28,131.45,124.3,-7.15,0.39,2.59,6.86,-6.08,Buy Spread,-7.15,-2.6999999999999886,-3.265000000000001,-8.445,4.450000000000012,0.6224
UBL,2018-09-06,2018-09-07,2018-09-27,2018-10-25,1343.6,1367.75,24.15,5.14,7.42,23.69,-13.41,Sell Spread,24.15,7.75,13.02,27.86,16.4,0.6791
UBL,2019-02-01,2019-02-05,2019-02-28,2019-03-28,1453.4,1442.0,-11.4,5.61,6.52,21.91,-10.69,Buy Spread,-11.4,16.34999999999991,-1.620000000000001,-14.66,27.749999999999908,2.4342
UBL,2019-03-07,2019-03-08,2019-03-28,2019-04-25,1395.45,1427.0,31.55,5.83,6.56,22.23,-10.57,Sell Spread,31.55,6.099999999999909,21.71,34.83,25.45000000000009,0.8067
UBL,2019-05-03,2019-05-06,2019-05-30,2019-06-27,1392.95,1423.65,30.7,6.13,6.44,22.23,-9.97,Sell Spread,30.7,38.75,21.04,33.92,-8.05,-0.2622
UBL,2019-06-06,2019-06-07,2019-06-27,2019-07-25,1320.5,1356.0,35.5,6.55,6.82,23.6,-10.5,Sell Spread,35.5,7.849999999999909,25.27,38.91,27.65000000000009,0.7789
UBL,2019-08-02,2019-08-06,2019-08-29,2019-09-26,1406.95,1394.0,-12.95,6.48,6.71,23.26,-10.29,Buy Spread,-12.95,1.4500000000000455,-2.885,-16.305,14.400000000000045,1.112
