symbol,date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,target,stoploss
BAJAJ-AUTO,2020-02-24,2020-02-27,2020-03-26,2982.5,2875.7,-106.8,5.31,18.97,52.74,-42.11,Buy Spread,-106.8,-78.345,-116.285
TCS,2020-02-24,2020-02-27,2020-03-26,2117.85,2102.7,-15.15,6.79,5.41,20.32,-6.74,Buy Spread,-15.15,-7.035,-17.855
BAJAJ-AUTO,2020-02-20,2020-02-27,2020-03-26,3067.4,3012.25,-55.15,5.54,18.31,51.32,-40.24,Buy Spread,-55.15,-27.685000000000002,-64.30499999999999
TCS,2020-02-20,2020-02-27,2020-03-26,2161.95,2151.6,-10.35,6.83,5.32,20.13,-6.47,Buy Spread,-10.35,-2.369999999999999,-13.01
TITAN,2020-02-20,2020-02-27,2020-03-26,1321.7,1321.2,-0.5,4.59,1.78,9.04,0.14,Buy Spread,-0.5,2.17,-1.3900000000000001
BAJAJ-AUTO,2020-02-19,2020-02-27,2020-03-26,3098.9,3044.2,-54.7,5.66,18.13,50.98,-39.66,Buy Spread,-54.7,-27.505000000000003,-63.765
BAJAJ-AUTO,2020-02-18,2020-02-27,2020-03-26,3084.0,3032.35,-51.65,5.78,17.94,50.63,-39.07,Buy Spread,-51.65,-24.739999999999995,-60.62
TCS,2020-02-18,2020-02-27,2020-03-26,2216.25,2207.3,-8.95,6.89,5.24,19.99,-6.21,Buy Spread,-8.95,-1.089999999999999,-11.57
BAJAJ-AUTO,2020-02-17,2020-02-27,2020-03-26,3086.2,3025.65,-60.55,5.89,17.77,50.32,-38.53,Buy Spread,-60.55,-33.894999999999996,-69.435
TCS,2020-02-17,2020-02-27,2020-03-26,2208.8,2201.05,-7.75,6.93,5.2,19.93,-6.07,Buy Spread,-7.75,0.05000000000000071,-10.35
TITAN,2020-02-17,2020-02-27,2020-03-26,1316.55,1316.75,0.2,4.62,1.75,9.0,0.25,Buy Spread,0.2,2.825,-0.675
BAJAJ-AUTO,2020-02-14,2020-02-27,2020-03-26,3156.8,3101.85,-54.95,6.03,17.54,49.88,-37.82,Buy Spread,-54.95,-28.640000000000004,-63.72
TITAN,2020-02-14,2020-02-27,2020-03-26,1295.25,1295.5,0.25,4.63,1.74,8.98,0.28,Buy Spread,0.25,2.86,-0.62
BAJAJ-AUTO,2020-02-13,2020-02-27,2020-03-26,3144.1,3091.0,-53.1,6.15,17.34,49.5,-37.2,Buy Spread,-53.1,-27.090000000000003,-61.77
ULTRACEMCO,2020-02-01,2020-02-27,2020-03-26,4270.25,4254.45,-15.8,16.86,7.39,35.33,-1.61,Buy Spread,-15.8,-4.715000000000002,-19.495
HEROMOTOCO,2020-01-29,2020-01-30,2020-02-27,2484.45,2447.1,-37.35,7.7,14.51,43.98,-28.58,Buy Spread,-37.35,-15.585,-44.605000000000004
HEROMOTOCO,2020-01-28,2020-01-30,2020-02-27,2472.0,2436.95,-35.05,7.79,14.38,43.74,-28.16,Buy Spread,-35.05,-13.479999999999997,-42.239999999999995
HEROMOTOCO,2020-01-17,2020-01-30,2020-02-27,2461.2,2434.5,-26.7,8.29,13.87,42.96,-26.38,Buy Spread,-26.7,-5.895,-33.635
HEROMOTOCO,2020-01-16,2020-01-30,2020-02-27,2442.9,2415.55,-27.35,8.36,13.79,42.83,-26.11,Buy Spread,-27.35,-6.665000000000003,-34.245000000000005
HEROMOTOCO,2020-01-15,2020-01-30,2020-02-27,2480.35,2453.2,-27.15,8.44,13.7,42.69,-25.81,Buy Spread,-27.15,-6.600000000000001,-34.0
HEROMOTOCO,2020-01-13,2020-01-30,2020-02-27,2377.25,2350.3,-26.95,8.58,13.55,42.46,-25.3,Buy Spread,-26.95,-6.6249999999999964,-33.725
HEROMOTOCO,2020-01-10,2020-01-30,2020-02-27,2375.1,2348.0,-27.1,8.66,13.47,42.34,-25.02,Buy Spread,-27.1,-6.895,-33.835
HEROMOTOCO,2020-01-09,2020-01-30,2020-02-27,2366.05,2340.65,-25.4,8.73,13.38,42.18,-24.72,Buy Spread,-25.4,-5.329999999999998,-32.089999999999996
HEROMOTOCO,2020-01-08,2020-01-30,2020-02-27,2329.4,2301.9,-27.5,8.81,13.3,42.06,-24.44,Buy Spread,-27.5,-7.549999999999997,-34.15
HEROMOTOCO,2020-01-07,2020-01-30,2020-02-27,2361.65,2334.9,-26.75,8.89,13.21,41.92,-24.14,Buy Spread,-26.75,-6.934999999999999,-33.355000000000004
HEROMOTOCO,2020-01-02,2020-01-30,2020-02-27,2438.3,2414.3,-24.0,9.1,12.99,41.58,-23.38,Buy Spread,-24.0,-4.515000000000001,-30.495
TVSMOTOR,2019-12-06,2019-12-26,2020-01-30,439.15,427.0,-12.15,-3.03,3.56,5.87,-11.93,Buy Spread,-12.15,-6.8100000000000005,-13.93
UBL,2019-11-04,2019-11-28,2019-12-26,1240.3,1271.45,31.15,6.81,9.53,30.64,-17.02,Sell Spread,31.15,16.855,35.915
IBULHSGFIN,2019-10-30,2019-10-31,2019-11-28,214.5,195.85,-18.65,-0.24,7.02,17.31,-17.79,Buy Spread,-18.65,-8.12,-22.159999999999997
TVSMOTOR,2019-10-30,2019-10-31,2019-11-28,495.1,480.15,-14.95,-2.62,3.21,5.4,-10.64,Buy Spread,-14.95,-10.135,-16.555
JUBLFOOD,2019-10-29,2019-10-31,2019-11-28,1584.25,1568.15,-16.1,2.89,7.51,21.66,-15.88,Buy Spread,-16.1,-4.835000000000001,-19.855
TVSMOTOR,2019-10-29,2019-10-31,2019-11-28,478.35,464.7,-13.65,-2.6,3.15,5.28,-10.48,Buy Spread,-13.65,-8.925,-15.225
JUBLFOOD,2019-10-27,2019-10-31,2019-11-28,1537.2,1519.45,-17.75,2.94,7.46,21.59,-15.71,Buy Spread,-17.75,-6.5600000000000005,-21.48
TVSMOTOR,2019-10-27,2019-10-31,2019-11-28,461.9,449.2,-12.7,-2.57,3.11,5.2,-10.34,Buy Spread,-12.7,-8.035,-14.254999999999999
JUBLFOOD,2019-10-25,2019-10-31,2019-11-28,1526.9,1509.1,-17.8,2.99,7.4,21.49,-15.51,Buy Spread,-17.8,-6.699999999999999,-21.5
TVSMOTOR,2019-10-25,2019-10-31,2019-11-28,461.95,449.55,-12.4,-2.55,3.08,5.15,-10.25,Buy Spread,-12.4,-7.78,-13.940000000000001
JUBLFOOD,2019-10-22,2019-10-31,2019-11-28,1429.2,1413.0,-16.2,3.12,7.26,21.27,-15.03,Buy Spread,-16.2,-5.309999999999999,-19.83
JUBLFOOD,2019-10-14,2019-10-31,2019-11-28,1321.0,1306.15,-14.85,3.32,7.07,21.0,-14.36,Buy Spread,-14.85,-4.244999999999999,-18.384999999999998
VEDL,2019-10-14,2019-10-31,2019-11-28,148.35,147.75,-0.6,0.84,0.57,2.26,-0.58,Buy Spread,-0.6,0.255,-0.885
JUBLFOOD,2019-10-11,2019-10-31,2019-11-28,1324.5,1308.85,-15.65,3.36,7.02,20.91,-14.19,Buy Spread,-15.65,-5.120000000000001,-19.16
VEDL,2019-10-09,2019-10-31,2019-11-28,146.6,145.9,-0.7,0.85,0.56,2.25,-0.55,Buy Spread,-0.7,0.14000000000000012,-0.98
TVSMOTOR,2019-10-07,2019-10-31,2019-11-28,384.95,370.5,-14.45,-2.38,2.95,5.0,-9.75,Buy Spread,-14.45,-10.024999999999999,-15.924999999999999
UBL,2019-10-07,2019-10-31,2019-11-28,1257.45,1333.35,75.9,6.82,9.63,30.9,-17.26,Sell Spread,75.9,61.455000000000005,80.715
UBL,2019-10-04,2019-10-31,2019-11-28,1274.4,1333.35,58.95,6.66,9.01,29.18,-15.86,Sell Spread,58.95,45.435,63.455000000000005
IBULHSGFIN,2019-10-03,2019-10-31,2019-11-28,255.85,236.8,-19.05,0.35,6.53,16.68,-15.98,Buy Spread,-19.05,-9.255,-22.315
UBL,2019-10-01,2019-10-31,2019-11-28,1332.15,1385.1,52.95,6.54,8.64,28.14,-15.06,Sell Spread,52.95,39.99,57.27
IBULHSGFIN,2019-09-25,2019-09-26,2019-10-31,423.15,398.8,-24.35,0.45,6.42,16.5,-15.6,Buy Spread,-24.35,-14.720000000000002,-27.560000000000002
RBLBANK,2019-09-25,2019-09-26,2019-10-31,383.9,379.55,-4.35,1.0,1.78,5.45,-3.45,Buy Spread,-4.35,-1.6799999999999997,-5.239999999999999
IBULHSGFIN,2019-09-24,2019-09-26,2019-10-31,434.6,404.0,-30.6,0.52,6.31,16.29,-15.26,Buy Spread,-30.6,-21.135,-33.755
IBULHSGFIN,2019-09-23,2019-09-26,2019-10-31,435.4,411.15,-24.25,0.59,6.12,15.89,-14.71,Buy Spread,-24.25,-15.07,-27.31
IBULHSGFIN,2019-09-20,2019-09-26,2019-10-31,419.65,401.1,-18.55,0.65,6.0,15.65,-14.35,Buy Spread,-18.55,-9.55,-21.55
JUBLFOOD,2019-09-20,2019-09-26,2019-10-31,1380.1,1365.8,-14.3,3.79,6.57,20.22,-12.64,Buy Spread,-14.3,-4.445,-17.585
IBULHSGFIN,2019-09-19,2019-09-26,2019-10-31,372.6,353.5,-19.1,0.7,5.93,15.52,-14.12,Buy Spread,-19.1,-10.205000000000002,-22.065
JUBLFOOD,2019-09-19,2019-09-26,2019-10-31,1236.35,1217.9,-18.45,3.84,6.51,20.11,-12.43,Buy Spread,-18.45,-8.684999999999999,-21.705
IBULHSGFIN,2019-09-18,2019-09-26,2019-10-31,398.8,380.95,-17.85,0.75,5.86,15.4,-13.9,Buy Spread,-17.85,-9.06,-20.78
JUBLFOOD,2019-09-18,2019-09-26,2019-10-31,1240.5,1224.85,-15.65,3.9,6.42,19.95,-12.15,Buy Spread,-15.65,-6.020000000000001,-18.86
IBULHSGFIN,2019-09-17,2019-09-26,2019-10-31,404.35,386.0,-18.35,0.8,5.79,15.28,-13.68,Buy Spread,-18.35,-9.665000000000001,-21.245
JUBLFOOD,2019-09-17,2019-09-26,2019-10-31,1241.35,1223.45,-17.9,3.94,6.36,19.84,-11.96,Buy Spread,-17.9,-8.359999999999998,-21.08
IBULHSGFIN,2019-09-16,2019-09-26,2019-10-31,415.15,397.75,-17.4,0.85,5.72,15.15,-13.45,Buy Spread,-17.4,-8.819999999999999,-20.259999999999998
JUBLFOOD,2019-09-16,2019-09-26,2019-10-31,1255.75,1238.95,-16.8,4.0,6.27,19.67,-11.68,Buy Spread,-16.8,-7.395000000000001,-19.935000000000002
IBULHSGFIN,2019-09-13,2019-09-26,2019-10-31,421.65,406.9,-14.75,0.89,5.65,15.02,-13.24,Buy Spread,-14.75,-6.274999999999999,-17.575
JUBLFOOD,2019-09-13,2019-09-26,2019-10-31,1229.8,1212.45,-17.35,4.05,6.19,19.53,-11.42,Buy Spread,-17.35,-8.065000000000001,-20.445
IBULHSGFIN,2019-09-12,2019-09-26,2019-10-31,438.0,421.3,-16.7,0.93,5.6,14.93,-13.07,Buy Spread,-16.7,-8.3,-19.5
JUBLFOOD,2019-09-12,2019-09-26,2019-10-31,1207.85,1194.15,-13.7,4.11,6.1,19.36,-11.14,Buy Spread,-13.7,-4.550000000000001,-16.75
IBULHSGFIN,2019-09-11,2019-09-26,2019-10-31,413.65,398.15,-15.5,0.98,5.54,14.83,-12.87,Buy Spread,-15.5,-7.1899999999999995,-18.27
JUBLFOOD,2019-09-11,2019-09-26,2019-10-31,1241.75,1228.5,-13.25,4.15,6.04,19.25,-10.95,Buy Spread,-13.25,-4.1899999999999995,-16.27
IBULHSGFIN,2019-09-09,2019-09-26,2019-10-31,383.65,363.3,-20.35,1.02,5.48,14.72,-12.68,Buy Spread,-20.35,-12.13,-23.090000000000003
JUBLFOOD,2019-09-09,2019-09-26,2019-10-31,1199.1,1185.0,-14.1,4.2,5.99,19.18,-10.78,Buy Spread,-14.1,-5.115,-17.095
IBULHSGFIN,2019-09-06,2019-09-26,2019-10-31,390.35,373.45,-16.9,1.07,5.38,14.52,-12.38,Buy Spread,-16.9,-8.829999999999998,-19.59
JUBLFOOD,2019-09-06,2019-09-26,2019-10-31,1190.65,1177.1,-13.55,4.24,5.92,19.04,-10.56,Buy Spread,-13.55,-4.670000000000002,-16.51
IBULHSGFIN,2019-09-05,2019-09-26,2019-10-31,424.45,407.25,-17.2,1.12,5.31,14.4,-12.15,Buy Spread,-17.2,-9.235,-19.855
JUBLFOOD,2019-09-05,2019-09-26,2019-10-31,1181.3,1169.75,-11.55,4.29,5.86,18.94,-10.36,Buy Spread,-11.55,-2.76,-14.48
IBULHSGFIN,2019-09-04,2019-09-26,2019-10-31,440.5,423.95,-16.55,1.17,5.23,14.24,-11.9,Buy Spread,-16.55,-8.705,-19.165
JUBLFOOD,2019-09-04,2019-09-26,2019-10-31,1183.9,1172.95,-10.95,4.33,5.81,18.85,-10.19,Buy Spread,-10.95,-2.2349999999999994,-13.854999999999999
IBULHSGFIN,2019-09-03,2019-09-26,2019-10-31,417.0,401.15,-15.85,1.21,5.16,14.11,-11.69,Buy Spread,-15.85,-8.11,-18.43
UBL,2019-09-03,2019-09-26,2019-10-31,1320.5,1427.7,107.2,6.45,8.48,27.65,-14.75,Sell Spread,107.2,94.48,111.44
IBULHSGFIN,2019-08-28,2019-08-29,2019-09-26,456.35,440.45,-15.9,1.35,4.78,13.3,-10.6,Buy Spread,-15.9,-8.73,-18.29
JUBLFOOD,2019-08-28,2019-08-29,2019-09-26,1187.85,1168.2,-19.65,4.5,5.43,18.08,-9.07,Buy Spread,-19.65,-11.504999999999999,-22.365
JUBLFOOD,2019-08-27,2019-08-29,2019-09-26,1186.85,1163.95,-22.9,4.56,5.29,17.78,-8.66,Buy Spread,-22.9,-14.964999999999998,-25.544999999999998
TATAMOTORS,2019-08-27,2019-08-29,2019-09-26,120.6,120.5,-0.1,1.24,0.51,2.51,-0.03,Buy Spread,-0.1,0.665,-0.355
JUBLFOOD,2019-08-26,2019-08-29,2019-09-26,1170.15,1152.6,-17.55,4.63,5.11,17.4,-8.14,Buy Spread,-17.55,-9.885,-20.105
JUBLFOOD,2019-08-23,2019-08-29,2019-09-26,1142.9,1130.05,-12.85,4.69,4.99,17.17,-7.79,Buy Spread,-12.85,-5.364999999999999,-15.344999999999999
JUBLFOOD,2019-08-22,2019-08-29,2019-09-26,1102.05,1091.55,-10.5,4.74,4.92,17.04,-7.56,Buy Spread,-10.5,-3.12,-12.96
JUBLFOOD,2019-08-21,2019-08-29,2019-09-26,1122.7,1112.05,-10.65,4.78,4.86,16.93,-7.37,Buy Spread,-10.65,-3.3599999999999994,-13.08
JUBLFOOD,2019-08-20,2019-08-29,2019-09-26,1141.8,1130.1,-11.7,4.82,4.8,16.82,-7.18,Buy Spread,-11.7,-4.5,-14.1
IBULHSGFIN,2019-08-19,2019-08-29,2019-09-26,523.25,511.4,-11.85,1.54,4.59,13.02,-9.93,Buy Spread,-11.85,-4.965,-14.145
JUBLFOOD,2019-08-19,2019-08-29,2019-09-26,1145.9,1135.05,-10.85,4.86,4.73,16.69,-6.97,Buy Spread,-10.85,-3.754999999999999,-13.215
JUBLFOOD,2019-08-16,2019-08-29,2019-09-26,1110.7,1103.25,-7.45,4.9,4.67,16.58,-6.78,Buy Spread,-7.45,-0.4450000000000003,-9.785
IBULHSGFIN,2019-08-14,2019-08-29,2019-09-26,534.85,523.4,-11.45,1.6,4.51,12.87,-9.67,Buy Spread,-11.45,-4.685,-13.704999999999998
JUBLFOOD,2019-08-14,2019-08-29,2019-09-26,1131.65,1123.6,-8.05,4.93,4.63,16.5,-6.64,Buy Spread,-8.05,-1.1050000000000004,-10.365
IBULHSGFIN,2019-08-13,2019-08-29,2019-09-26,534.85,523.15,-11.7,1.64,4.47,12.82,-9.53,Buy Spread,-11.7,-4.994999999999999,-13.934999999999999
JUBLFOOD,2019-08-13,2019-08-29,2019-09-26,1129.0,1120.2,-8.8,4.97,4.59,16.44,-6.5,Buy Spread,-8.8,-1.915000000000001,-11.095
JUBLFOOD,2019-08-09,2019-08-29,2019-09-26,1175.45,1166.55,-8.9,5.01,4.54,16.36,-6.34,Buy Spread,-8.9,-2.09,-11.17
UBL,2019-08-05,2019-08-29,2019-09-26,1407.7,1394.0,-13.7,6.43,6.78,23.38,-10.52,Buy Spread,-13.7,-3.5299999999999994,-17.09
UBL,2019-08-02,2019-08-29,2019-09-26,1406.95,1394.0,-12.95,6.48,6.71,23.26,-10.29,Buy Spread,-12.95,-2.885,-16.305
JUBLFOOD,2019-08-01,2019-08-29,2019-09-26,1180.7,1174.45,-6.25,5.17,4.37,16.1,-5.76,Buy Spread,-6.25,0.3049999999999997,-8.435
HINDALCO,2019-07-24,2019-07-25,2019-08-29,197.65,197.4,-0.25,0.97,0.43,2.04,-0.1,Buy Spread,-0.25,0.395,-0.46499999999999997
JUBLFOOD,2019-07-24,2019-07-25,2019-08-29,1149.25,1131.5,-17.75,5.28,4.08,15.48,-4.92,Buy Spread,-17.75,-11.629999999999999,-19.79
LUPIN,2019-07-24,2019-07-25,2019-08-29,738.4,735.2,-3.2,3.54,1.8,8.04,-0.96,Buy Spread,-3.2,-0.5,-4.1000000000000005
RELIANCE,2019-07-24,2019-07-25,2019-08-29,1261.55,1261.25,-0.3,5.01,1.86,9.66,0.36,Buy Spread,-0.3,2.49,-1.23
SUNPHARMA,2019-07-24,2019-07-25,2019-08-29,425.8,425.3,-0.5,2.37,0.9,4.62,0.12,Buy Spread,-0.5,0.8500000000000001,-0.95
HINDALCO,2019-07-23,2019-07-25,2019-08-29,202.9,202.75,-0.15,0.97,0.43,2.04,-0.1,Buy Spread,-0.15,0.495,-0.365
JUBLFOOD,2019-07-23,2019-07-25,2019-08-29,1222.6,1213.95,-8.65,5.35,3.9,15.1,-4.4,Buy Spread,-8.65,-2.8000000000000007,-10.6
LUPIN,2019-07-23,2019-07-25,2019-08-29,756.65,754.4,-2.25,3.56,1.76,7.96,-0.84,Buy Spread,-2.25,0.3900000000000001,-3.13
HINDALCO,2019-07-22,2019-07-25,2019-08-29,202.35,201.5,-0.85,0.97,0.43,2.04,-0.1,Buy Spread,-0.85,-0.20499999999999996,-1.065
LUPIN,2019-07-22,2019-07-25,2019-08-29,758.0,756.5,-1.5,3.58,1.74,7.93,-0.77,Buy Spread,-1.5,1.1099999999999999,-2.37
RELIANCE,2019-07-22,2019-07-25,2019-08-29,1280.95,1280.85,-0.1,5.04,1.83,9.62,0.46,Buy Spread,-0.1,2.645,-1.0150000000000001
LUPIN,2019-07-19,2019-07-25,2019-08-29,745.8,744.55,-1.25,3.59,1.72,7.89,-0.71,Buy Spread,-1.25,1.33,-2.11
LUPIN,2019-07-18,2019-07-25,2019-08-29,757.9,756.7,-1.2,3.6,1.7,7.85,-0.65,Buy Spread,-1.2,1.3499999999999999,-2.05
HINDALCO,2019-07-17,2019-07-25,2019-08-29,203.25,203.1,-0.15,0.98,0.41,2.0,-0.04,Buy Spread,-0.15,0.46499999999999997,-0.355
LUPIN,2019-07-17,2019-07-25,2019-08-29,772.55,771.25,-1.3,3.62,1.69,7.84,-0.6,Buy Spread,-1.3,1.235,-2.145
SUNPHARMA,2019-07-17,2019-07-25,2019-08-29,430.8,430.65,-0.15,2.4,0.87,4.57,0.23,Buy Spread,-0.15,1.155,-0.585
HINDALCO,2019-07-16,2019-07-25,2019-08-29,199.8,199.6,-0.2,0.99,0.41,2.01,-0.03,Buy Spread,-0.2,0.415,-0.405
LUPIN,2019-07-16,2019-07-25,2019-08-29,778.6,777.35,-1.25,3.63,1.67,7.8,-0.54,Buy Spread,-1.25,1.255,-2.085
SUNPHARMA,2019-07-16,2019-07-25,2019-08-29,433.35,433.1,-0.25,2.4,0.86,4.55,0.25,Buy Spread,-0.25,1.04,-0.6799999999999999
LUPIN,2019-07-15,2019-07-25,2019-08-29,764.85,764.1,-0.75,3.64,1.65,7.76,-0.48,Buy Spread,-0.75,1.7249999999999996,-1.575
SUNPHARMA,2019-07-15,2019-07-25,2019-08-29,422.45,422.0,-0.45,2.41,0.85,4.54,0.29,Buy Spread,-0.45,0.825,-0.875
JUBLFOOD,2019-07-12,2019-07-25,2019-08-29,1201.4,1196.15,-5.25,5.51,3.74,14.86,-3.84,Buy Spread,-5.25,0.3600000000000003,-7.12
LUPIN,2019-07-12,2019-07-25,2019-08-29,763.55,763.0,-0.55,3.66,1.64,7.76,-0.44,Buy Spread,-0.55,1.91,-1.37
SUNPHARMA,2019-07-12,2019-07-25,2019-08-29,408.8,408.35,-0.45,2.42,0.83,4.49,0.35,Buy Spread,-0.45,0.7949999999999999,-0.865
SUNPHARMA,2019-07-11,2019-07-25,2019-08-29,399.85,399.3,-0.55,2.43,0.82,4.48,0.38,Buy Spread,-0.55,0.6799999999999999,-0.96
TITAN,2019-07-11,2019-07-25,2019-08-29,1101.7,1101.6,-0.1,4.59,1.78,9.04,0.14,Buy Spread,-0.1,2.57,-0.99
HINDALCO,2019-07-10,2019-07-25,2019-08-29,194.05,194.0,-0.05,1.0,0.39,1.98,0.02,Buy Spread,-0.05,0.5349999999999999,-0.245
JUBLFOOD,2019-07-10,2019-07-25,2019-08-29,1222.55,1217.45,-5.1,5.56,3.68,14.76,-3.64,Buy Spread,-5.1,0.4200000000000008,-6.9399999999999995
SUNPHARMA,2019-07-10,2019-07-25,2019-08-29,392.3,391.55,-0.75,2.44,0.81,4.46,0.41,Buy Spread,-0.75,0.4650000000000001,-1.155
HINDALCO,2019-07-09,2019-07-25,2019-08-29,198.25,198.2,-0.05,1.0,0.39,1.98,0.02,Buy Spread,-0.05,0.5349999999999999,-0.245
SUNPHARMA,2019-07-09,2019-07-25,2019-08-29,388.0,388.0,0.0,2.45,0.79,4.43,0.48,Buy Spread,0.0,1.185,-0.395
JUBLFOOD,2019-07-08,2019-07-25,2019-08-29,1243.2,1238.1,-5.1,5.62,3.62,14.67,-3.43,Buy Spread,-5.1,0.33000000000000007,-6.91
SUNPHARMA,2019-07-08,2019-07-25,2019-08-29,368.65,368.75,0.1,2.45,0.78,4.4,0.5,Buy Spread,0.1,1.27,-0.29000000000000004
HINDALCO,2019-07-05,2019-07-25,2019-08-29,199.15,199.1,-0.05,1.01,0.39,1.98,0.03,Buy Spread,-0.05,0.5349999999999999,-0.245
JUBLFOOD,2019-07-05,2019-07-25,2019-08-29,1230.25,1226.05,-4.2,5.65,3.58,14.6,-3.3,Buy Spread,-4.2,1.17,-5.99
HINDALCO,2019-07-04,2019-07-25,2019-08-29,207.45,207.45,0.0,1.01,0.38,1.96,0.06,Buy Spread,0.0,0.5700000000000001,-0.19
JUBLFOOD,2019-07-04,2019-07-25,2019-08-29,1250.2,1243.85,-6.35,5.67,3.55,14.54,-3.2,Buy Spread,-6.35,-1.0250000000000004,-8.125
SUNPHARMA,2019-07-04,2019-07-25,2019-08-29,394.5,394.6,0.1,2.46,0.77,4.38,0.53,Buy Spread,0.1,1.2550000000000001,-0.28500000000000003
SUNPHARMA,2019-07-03,2019-07-25,2019-08-29,398.15,398.2,0.05,2.47,0.76,4.37,0.57,Buy Spread,0.05,1.1900000000000002,-0.33
HINDALCO,2019-07-02,2019-07-25,2019-08-29,210.15,210.1,-0.05,1.01,0.38,1.96,0.06,Buy Spread,-0.05,0.52,-0.24
JUBLFOOD,2019-07-02,2019-07-25,2019-08-29,1236.45,1233.5,-2.95,5.73,3.47,14.4,-2.94,Buy Spread,-2.95,2.255,-4.6850000000000005
SUNPHARMA,2019-07-02,2019-07-25,2019-08-29,397.3,396.85,-0.45,2.48,0.75,4.36,0.6,Buy Spread,-0.45,0.675,-0.825
JUBLFOOD,2019-07-01,2019-07-25,2019-08-29,1240.9,1233.35,-7.55,5.76,3.44,14.36,-2.84,Buy Spread,-7.55,-2.3899999999999997,-9.27
SUNPHARMA,2019-07-01,2019-07-25,2019-08-29,408.15,407.9,-0.25,2.49,0.73,4.32,0.67,Buy Spread,-0.25,0.845,-0.615
BAJAJ-AUTO,2019-06-26,2019-06-27,2019-07-25,2875.0,2824.55,-50.45,4.81,19.42,53.36,-43.74,Buy Spread,-50.45,-21.32,-60.160000000000004
FEDERALBNK,2019-06-26,2019-06-27,2019-07-25,104.6,104.1,-0.5,0.36,0.31,1.14,-0.42,Buy Spread,-0.5,-0.03500000000000003,-0.655
JUBLFOOD,2019-06-26,2019-06-27,2019-07-25,1250.1,1244.2,-5.9,5.81,3.37,14.24,-2.62,Buy Spread,-5.9,-0.8450000000000006,-7.585000000000001
M&M,2019-06-26,2019-06-27,2019-07-25,644.0,638.95,-5.05,3.06,2.8,10.06,-3.94,Buy Spread,-5.05,-0.8500000000000005,-6.449999999999999
MINDTREE,2019-06-26,2019-06-27,2019-07-25,905.95,875.65,-30.3,1.16,7.44,19.76,-17.44,Buy Spread,-30.3,-19.14,-34.02
TATASTEEL,2019-06-26,2019-06-27,2019-07-25,511.65,501.9,-9.75,1.6,3.64,10.7,-7.5,Buy Spread,-9.75,-4.29,-11.57
BAJAJ-AUTO,2019-06-25,2019-06-27,2019-07-25,2847.25,2793.0,-54.25,4.96,19.22,53.01,-43.09,Buy Spread,-54.25,-25.42,-63.86
JUBLFOOD,2019-06-25,2019-06-27,2019-07-25,1272.45,1269.3,-3.15,5.84,3.31,14.12,-2.44,Buy Spread,-3.15,1.815,-4.805
M&M,2019-06-25,2019-06-27,2019-07-25,641.65,636.35,-5.3,3.09,2.77,10.02,-3.84,Buy Spread,-5.3,-1.1449999999999996,-6.685
MINDTREE,2019-06-25,2019-06-27,2019-07-25,930.05,891.05,-39.0,1.25,7.26,19.4,-16.9,Buy Spread,-39.0,-28.11,-42.63
TATASTEEL,2019-06-25,2019-06-27,2019-07-25,498.8,488.7,-10.1,1.64,3.6,10.64,-7.36,Buy Spread,-10.1,-4.699999999999999,-11.9
BAJAJ-AUTO,2019-06-24,2019-06-27,2019-07-25,2822.6,2771.0,-51.6,5.13,18.99,52.6,-42.34,Buy Spread,-51.6,-23.115000000000002,-61.095
HDFC,2019-06-24,2019-06-27,2019-07-25,2150.7,2144.9,-5.8,7.85,5.35,21.22,-5.52,Buy Spread,-5.8,2.2249999999999988,-8.475
JUBLFOOD,2019-06-24,2019-06-27,2019-07-25,1258.05,1255.4,-2.65,5.87,3.28,14.07,-2.33,Buy Spread,-2.65,2.27,-4.29
M&M,2019-06-24,2019-06-27,2019-07-25,635.6,630.4,-5.2,3.11,2.74,9.96,-3.74,Buy Spread,-5.2,-1.0899999999999999,-6.57
MINDTREE,2019-06-24,2019-06-27,2019-07-25,947.9,904.05,-43.85,1.37,6.94,18.72,-15.98,Buy Spread,-43.85,-33.44,-47.32
TATASTEEL,2019-06-24,2019-06-27,2019-07-25,486.3,476.3,-10.0,1.67,3.55,10.54,-7.2,Buy Spread,-10.0,-4.675000000000001,-11.775
BAJAJ-AUTO,2019-06-21,2019-06-27,2019-07-25,2881.6,2834.45,-47.15,5.3,18.77,52.22,-41.62,Buy Spread,-47.15,-18.994999999999997,-56.535
FEDERALBNK,2019-06-21,2019-06-27,2019-07-25,102.9,102.45,-0.45,0.37,0.31,1.14,-0.4,Buy Spread,-0.45,0.014999999999999958,-0.605
HDFC,2019-06-21,2019-06-27,2019-07-25,2146.7,2140.45,-6.25,7.89,5.3,21.14,-5.36,Buy Spread,-6.25,1.6999999999999993,-8.9
M&M,2019-06-21,2019-06-27,2019-07-25,628.45,623.5,-4.95,3.14,2.71,9.92,-3.64,Buy Spread,-4.95,-0.8850000000000007,-6.305
MINDTREE,2019-06-21,2019-06-27,2019-07-25,960.15,929.3,-30.85,1.5,6.51,17.77,-14.77,Buy Spread,-30.85,-21.085,-34.105000000000004
TATASTEEL,2019-06-21,2019-06-27,2019-07-25,499.0,488.45,-10.55,1.7,3.5,10.45,-7.05,Buy Spread,-10.55,-5.300000000000001,-12.3
